Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-01-17 10:28:39,false,"Sonoma County Running","1.69","159","00:33:35","99","112","141","158","19:50","16:26","58","66","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:00.17","2","0.0","00:33:27","00:33:35","307","366"
Running,2023-01-12 08:36:00,false,"Rohnert Park Running","2.00","193","00:40:25","93","112","137","157","20:10","16:09","33","30","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.94","3","0.0","00:40:18","00:40:25","124","158"
Running,2023-01-09 16:35:44,false,"Rohnert Park Running","2.00","188","00:38:05","96","120","141","163","19:03","15:42","26","16","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:42.96","2","0.0","00:37:34","00:38:05","124","158"
Running,2023-01-04 08:33:46,false,"Rohnert Park Running","2.00","191","00:44:21","85","113","114","159","22:10","15:32","30","30","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.02","3","0.0","00:40:02","00:44:21","124","158"
Running,2023-01-02 09:40:08,false,"Rohnert Park Running","2.15","203","00:39:37","83","122","139","165","18:25","15:37","33","33","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.94","9","0.0","00:38:25","00:39:39","121","158"
Running,2022-12-31 10:11:35,false,"Rohnert Park Running","2.03","234","00:40:51","92","122","124","159","20:06","15:58","33","30","0.65","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:32.98","3","0.0","00:36:47","00:40:51","125","158"
Running,2022-12-29 11:08:17,false,"Rohnert Park Running","2.00","198","00:39:48","98","113","139","163","19:52","16:37","30","23","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.17","3","0.0","00:39:40","00:39:48","125","158"
Walking,2022-12-25 11:39:24,false,"Rohnert Park Walking","1.00","85","00:25:09","68","101","93","102","25:05","22:38","33","26","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.79","2","0.0","00:25:04","00:48:37","125","158"
Running,2022-12-21 08:34:47,false,"Rohnert Park Running","2.00","192","00:38:19","77","87","142","163","19:09","15:22","28","20","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.94","3","0.0","00:38:05","00:38:19","125","158"
Running,2022-12-19 10:15:40,false,"Rohnert Park Running","2.00","192","00:38:04","93","111","142","165","19:03","15:42","33","26","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:57.86","2","0.0","00:37:56","00:38:04","124","158"
Running,2022-12-17 11:58:37,false,"Rohnert Park Running","2.01","191","00:35:44","92","124","147","162","17:49","14:36","33","28","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.69","3","0.0","00:35:21","00:35:44","125","159"
Running,2022-12-15 10:15:38,false,"Rohnert Park Running","2.01","186","00:33:25","97","121","151","165","16:40","14:27","33","25","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.49","3","0.0","00:33:04","00:33:25","125","158"
Running,2022-12-13 11:23:13,false,"Rohnert Park Running","2.00","197","00:34:52","118","138","147","161","17:26","13:30","30","23","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:57.36","2","0.0","00:34:29","00:34:52","124","158"
Running,2022-12-11 10:17:49,false,"Rohnert Park Running","2.00","190","00:35:44","99","135","147","161","17:50","15:42","33","30","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.21","3","0.0","00:35:36","00:35:44","124","158"
Running,2022-12-08 11:23:23,false,"Rohnert Park Running","2.00","202","00:37:59","96","124","142","162","18:58","16:14","33","33","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.85","3","0.0","00:37:52","00:37:59","125","158"
